fishing boats,colors of,the rainbow
ITS OKAY IF U, DELETE IT I ALREADY,SAVED IT ANYWAY
nobody wanted, to know me two years ago,what's different now
Getting up in the, morning doesn't get any,easier at all
okay angel asked, me all these weird questions so,don't think I'm nasty
currently in my, baby bed while he rubbing,on my thighs heaven
i just realized, i wanna sleep my way through,my entire life
I wanna go see, trippie redd in Nov I have,such a concert prob
I am trying to, knock on that metal of yours,But NOTHING happens
The bourgeoisie keeps, more however render it,more palatable
Still wish that SPECIAL, friend was here tonight She is,still in the wrong bed
God doesn't love you, because you're good God loves you,because He is good
Why is every, ad anti Trump I'm clearly,a Trump supporter
WHY DID NOBODY, TELL ME THERE WAS A POPEYES,COMING TO DUNKIRK
People always end, up getting the one thing I,intend to work for
I'm so tired of, people being ignorant,about Chicago
Bark Obama the, inquisitive pointer loves,to rip up my skunk
Hi Ferry are you, in Jakarta this week can,we meet on Friday
Amber Wilson you, need to offer my good friend,Jack Durney some help
Can we impose a, heavy fine and then release,Jon Flanagan Prick
The amount of food, I'm going to have today,should be illegal
Spontaneity, is all cool till one day it,makes you look stupid
their own artist is, on the song what the hell is,wrong with Atlantic
What about shipping, to Kurdistan iraq Please,add Iraq as well
Going finish this, last minute Christmas shopping,today finally
Im just happy that, one of my colleagues help me,with this weather Lol
for some reason the, japanese version works but,not the english one
The service is the, rent which we pay in this world,Mother Teresa
Let the record show, he gave me cold chicken and,I still said thank you
y'know what i think, im at the apogee in,my life the zenith
being a fan of, wisconsin sports has taken,YEARS off of my life
Thanks Super Fans for, the follow I m very,happy about it
America's team, gave up a first rounder for,a bust That's crazy
yeah i wanna draw, but the option to die seems,more delectable
My new Phone charges, much slower than my over,Phone and I hate it
I'm deleting y'all, wack ass app until YOU BRING,THE OLD FORMAT BACK
Only thing we can, hope for a LTD Vick,or moss honestly
Just saw a spider, and then it disappeared right,next to my window
I've this important, presentation on Wednesday,and I've done nothing
people hating on, mario super sluggers,i cant allow this
If you ever have, a Libra kid like me let,them know they are right
No matter what or, who you identify as,you're still wonderful
Crap I forgot to, put the end card at the end,of the video
The best thing about, the future is that it comes,one day at a time
I dunno what I, am doing here somehow got,convinced by close friends
Happy new year to, you and your family Rick,best wishes to you
The celebrities, are the participants so,she'll be competing
Baby you shine like, diamond flawless Break the rules,for you I'm lawless
Happy new year Kat, hope everything goes well for,you and your loved ones
wish my boyfriend could, come down and have a lazy,day with me today
i hate mornings I, hate eating i rather be,alone the whole day
Don't be the Person, who always think Everyone,is out to get you
p s It's really, hard to tell when someone is,joking on twitter
Every time that, you smile Like the sun that shines,in the midnight sky
I am not making, a big deal of him calling,me that I AM NOT
I don't count any, of u as friends anymore,that's not mean it's jus
I'm still afloat I'm, not a captain of a yacht,but I'm on a boat
But Harold Baines got, in I think we might need to,rethink this process
Taking my car to, get inspected never leaves,me in a good mood
YouTube is down and, I don't know what to do with,my life anymore
I never want God's, Plan to end literally,figuratively
been praying for the, better but it feels like shit,only getting worse
The Pastor says its, Ok to eat pussy What,do you know Teach me
Today has just been, devastating man Just not,a good day at all
I never want to, lose you I'm scared to lose you,Find the difference
Thank you Claudia, I'm sure that will not be met,with open arms LOL
if you're not gonna, be loyal to me don't talk,to me period
Feeling to message, this girl again but I might,just ruin her life
Im sleep deprived and, this routine is making me,tear up aaa
I think John Kerry, is experiencing a,botox overdose
alright lads i've been, distracted since now lets hit,up the new trial
How lucky was i, to have met a best friend on,my first day of work
Gotta flip my sleep, schedule around so hoping,I get to sleep soon
Am I being a, local by not knowing what,a local is Lol
i'm a positive, minded person in real life,like on some chill shit
A sloppy careless, game of basketball has made,this a tied series
CRASH Paducah Two, vehicle crash in front of,Wendy's on Southside
Yeah they do chocolate, bars like almond orange too,Really yummy x
Fucking hate legs Can't, wait to go home and struggle,to walk up my stairs
One thing about me, and my pistol we got lots,of trust together
When I feel falling, I remember the phrase stay,strong and keep going
It's a flop movie, wait see till next weekend U,will came to know that
Am I the only, who sends my self videos,to watch later lol
I'm actually, really enjoying my new,job and it feels WEIRD
I need to accept, that my metabolism,has left the building
Looking forward to, participating with this,great group of colleagues
returns today and, this is the first time ever,that I just don't care
I got fat after, high school I wasn't THICK THICK,but I was thick lol
gilbert arenas, is the most underrated,player of all time
How do you remove, yourself from getting reply,notifications
Fuck blocking you on, social media bitch I,want you to watch me
tiffany doesn't, understand what NO means she,just doesn't listen
Morel at centre, back makes me want to never,watch football again
Humans are nothing, but the thread from which the dream,of life is woven
A silver morning, In the forest scurrying,A sultry evening
I'm going to need, you bitches to apply a,little more pressure
Me and Trey watching, good deeds he just had a bath,he should be sleep soon
Please fucking fire, me Make My Day Or just stop,picking on just me
seriously im, about to break everything,WHERE IS MY DAMN PHONE
you are the only, one walking back hotel in,the opposite way
I haven't seen the, targeting video on,twitter I'm waiting
scorpio bias, me with my horoscopes more,likely than you think
Me in October, Especially after seeing,Halloween last night
Too many changes, made today paid the price for,today's performance
